Days Old,Inf,Name,Position,Nat,Age,Club,Ability,Potential,Transfer Value,Wage,Min AP,Min Fee Rls,Min Fee Rls to Foreign Clubs,Personality,Media Handling,Media Description,Expires,Left Foot,Right Foot,Av Rat,Apps,1v1,Acc,Aer,Agg,Agi,Ant,Bal,Bra,Cmd,Cnt,Cmp,Cro,Dec,Det,Dri,Fin,Fir,Fla,Han,Hea,Jum,Kic,Ldr,Lon,Mar,OtB,Pac,Pas,Pos,Ref,Sta,Str,Tck,Tea,Tec,Thr,TRO,Vis,Wor,UID,Cor,Height
-,Yth,Sacha Vivent,D (C),FRA,17,Toulouse FC,Unknown,Unknown,€70K - €210K,€400 p/m,-,-,-,Balanced,Media-friendly,Young centre-back,30/6/2025,Weak,Very Strong,-,-,1,13,4,15,10,6,7,8,3,6,5,6,14,12,1,1,7,5,3,9,7,2,4,2,12,3,11,6,14,2,7,9,10,6,5,2,2,5,7,2000187629,2,183 cm
-,Yth,Mohamed Dansoko,"DM, M (C)",FRA,16,Toulouse FC,Unknown,Unknown,€80K - €240K,€300 p/m,-,-,-,Balanced,Level-headed,Young midfielder,30/6/2026,Reasonable,Very Strong,-,-,2,14,3,11,14,5,7,7,1,6,6,6,7,11,5,4,11,5,1,6,9,1,9,3,4,6,14,7,5,2,13,6,10,7,11,2,1,13,12,2000290386,6,184 cm
-,Yth,Lony Huth,"AM (L), ST (C)",FRA,17,Toulouse FC,Unknown,Unknown,€45K - €140K,€400 p/m,-,-,-,Balanced,Level-headed,Young striker,30/6/2025,Weak,Very Strong,-,-,1,13,1,7,10,10,7,5,2,3,10,6,9,13,14,11,11,13,2,12,7,2,3,7,6,10,9,6,6,2,8,7,6,6,10,3,3,8,11,2000188628,4,171 cm
-,Yth,Jules Ouaknine,D (C),FRA,16,Toulouse FC,Unknown,Unknown,€275K - €850K,€300 p/m,-,-,-,Balanced,Media-friendly,Young centre-back,30/6/2026,Reasonable,Very Strong,-,-,3,9,1,5,8,6,8,9,1,8,5,2,14,13,2,2,5,5,3,14,10,1,4,5,14,7,10,7,14,3,8,8,8,7,5,3,4,4,8,2000290394,3,176 cm
-,,Christian Mawissa,D (LC),FRA,18,Toulouse FC,Unknown,Unknown,€850K - €2.5M,"€3,300 p/m",-,-,-,Fairly Determined,Level-headed,Centre-back,30/6/2026,Very Strong,Reasonable,-,-,2,12,4,12,11,12,11,11,2,10,11,10,11,17,10,10,12,5,2,11,13,2,12,7,12,6,11,11,11,2,11,6,11,12,9,3,2,10,11,2000131124,5,185 cm
-,,Mikkel Desler,D/WB (R),DEN,28,Toulouse FC,Unknown,Unknown,€1.3M - €3.9M,"€48,500 p/m",-,-,-,Balanced,Media-friendly,Full-back,30/6/2024,Reasonable,Very Strong,-,-,3,13,1,14,13,13,12,13,1,12,12,13,13,13,12,8,12,10,2,11,13,3,9,6,13,13,12,13,12,1,15,12,13,12,13,3,2,12,15,27053632,11,184 cm
-,Inj,Naatan Skyttä,M/AM (C),FIN,21,Toulouse FC,Unknown,Unknown,€1.7M - €5M,"€18,000 p/m",-,-,-,Fairly Professional,Level-headed,Attacking midfielder,30/6/2025,Very Strong,Fairly Strong,-,-,4,14,3,13,13,13,8,11,3,12,13,9,12,14,11,11,12,16,1,8,6,1,7,10,5,12,14,13,10,3,10,8,5,12,13,1,3,13,13,33075882,10,170 cm
-,Yth,Thibaud Garondo,"D (C), DM",FRA,17,Toulouse FC,Unknown,Unknown,€200K - €600K,€400 p/m,-,-,-,Balanced,Media-friendly,Young centre-back,30/6/2025,Weak,Very Strong,-,-,3,9,1,12,12,11,8,9,1,10,7,7,14,14,4,2,8,5,1,11,9,2,8,8,12,7,11,8,10,3,12,9,11,7,6,1,3,8,9,2000188090,6,177 cm
-,Yth,Mouhamed Daïf,"AM (LC), ST (C)",FRA,17,Toulouse FC,Unknown,Unknown,€90K - €275K,€400 p/m,-,-,-,Balanced,Level-headed,Young winger,30/6/2025,Weak,Very Strong,-,-,3,9,3,8,7,8,14,8,4,5,7,9,9,13,14,11,13,10,1,9,6,2,11,10,6,13,10,6,7,2,14,4,4,8,11,1,2,8,13,2000197686,7,175 cm
-,,Moussa Diarra,"D (LC), DM",MLI,22,Toulouse FC,Unknown,Unknown,€1M - €2.9M,"€25,000 p/m",-,-,-,Balanced,Level-headed,Full-back,30/6/2024,Very Strong,Weak,-,-,2,13,3,13,13,13,12,12,3,12,12,11,11,13,12,7,12,8,1,13,13,3,12,6,13,13,12,13,12,2,13,12,13,13,13,1,3,12,13,49044569,6,183 cm
-,Yth,Matteo Pujades,"DM, M (C)",FRA,16,Toulouse FC,Unknown,Unknown,€85K - €250K,€300 p/m,-,-,-,Balanced,Media-friendly,Young midfielder,30/6/2026,Very Strong,Weak,-,-,1,6,4,7,7,11,10,8,3,11,8,9,12,2,9,9,11,5,3,9,11,1,3,11,9,7,6,11,10,1,7,7,11,10,14,1,1,11,11,2000207633,9,176 cm
-,Yth,Clément Pujos,"DM, M (C)",FRA,17,Toulouse FC,Unknown,Unknown,€60K - €180K,€400 p/m,-,-,-,Balanced,Media-friendly,Young midfielder,30/6/2025,Weak,Very Strong,-,-,1,10,2,12,10,6,9,8,1,5,9,5,16,13,9,9,7,5,1,8,9,3,8,10,10,10,10,10,8,2,9,5,10,9,10,3,2,9,10,2000188236,4,183 cm
-,,Denis Genreau,M (C),AUS,24,Toulouse FC,Unknown,Unknown,€800K - €2.4M,"€27,500 p/m",-,-,-,Balanced,Level-headed,Midfielder,30/6/2025,Reasonable,Very Strong,-,-,2,13,2,12,13,12,11,11,1,12,12,10,13,13,12,9,14,12,2,8,8,1,8,10,7,14,12,13,12,1,16,10,10,13,13,1,1,13,14,15069940,11,175 cm
-,Yth,Mathis Saka,"AM (R), ST (C)",FRA,16,Toulouse FC,Unknown,Unknown,€100K - €300K,€300 p/m,-,-,-,Balanced,Level-headed,Young winger,30/6/2026,Weak,Very Strong,-,-,1,13,3,8,13,6,6,7,2,4,5,9,9,6,10,11,12,15,1,7,8,3,2,6,5,7,13,9,3,2,6,5,3,6,10,1,3,3,7,2000290382,5,172 cm
-,,Niklas Schmidt,M/AM (C),GER,25,Toulouse FC,Unknown,Unknown,€1.2M - €3.7M,"€31,000 p/m",-,-,-,Fairly Loyal,Level-headed,Attacking midfielder,30/6/2027,Reasonable,Very Strong,-,-,4,12,1,12,12,12,12,11,3,11,12,12,11,10,14,10,14,14,1,8,11,2,7,12,9,12,13,14,10,1,12,11,12,12,15,1,3,14,12,91144391,15,184 cm
-,,César Gelabert,"M (C), AM (RLC)",ESP,22,Toulouse FC,Unknown,Unknown,€1.2M - €3.7M,"€22,000 p/m",-,-,-,Balanced,Level-headed,Midfielder,30/6/2027,Fairly Strong,Very Strong,-,-,3,12,3,14,12,10,10,9,1,10,10,13,12,14,14,12,14,17,1,8,12,2,9,12,7,11,12,13,8,1,12,11,7,13,14,2,2,14,9,67256514,12,182 cm
-,,Guillaume Restes,GK,FRA,18,Toulouse FC,Unknown,Unknown,€21M - €62M,"€55,500 p/m",-,-,-,Fairly Determined,Level-headed,Goalkeeper,30/6/2026,Very Strong,Weak,-,-,13,12,10,7,13,12,12,14,11,12,12,2,12,16,1,1,12,7,11,2,12,12,1,1,3,2,16,12,12,15,11,11,3,12,11,11,11,12,11,2000094715,5,187 cm
-,Wnt,Thijs Dallinga,ST (C),NED,22,Toulouse FC,Unknown,Unknown,€2.2M - €6.6M,"€10,750 p/m",-,-,-,Balanced,Media-friendly,Striker,30/6/2026,Reasonable,Very Strong,-,-,2,13,1,8,13,12,14,13,3,12,13,6,13,13,12,14,12,13,2,14,14,3,13,12,5,13,13,12,12,2,14,12,5,12,12,3,2,12,13,37070210,7,180 cm
-,Yth,Jaydee Canvot,"D (C), DM",FRA,16,Toulouse FC,Unknown,Unknown,€150K - €450K,€300 p/m,-,-,-,Balanced,Media-friendly,Young centre-back,30/6/2026,Weak,Very Strong,-,-,3,9,1,14,10,6,8,9,1,5,6,1,14,14,3,7,11,5,3,14,15,2,7,7,7,7,11,10,11,2,7,7,13,7,7,1,1,9,10,2000187623,5,188 cm
-,,Cristian Cásseres,"DM, M/AM (C)",VEN,23,Toulouse FC,Unknown,Unknown,€1.2M - €3.7M,"€34,500 p/m",-,-,-,Balanced,Media-friendly,Midfielder,30/6/2027,Fairly Strong,Very Strong,-,-,1,14,3,14,13,12,13,12,3,11,12,9,12,13,12,8,12,12,3,9,8,2,10,9,12,11,13,13,11,3,13,12,13,13,12,2,3,13,14,86055764,11,176 cm
-,,Noah Edjouma,AM (RL),FRA,17,Toulouse FC,Unknown,Unknown,€550K - €1.7M,"€2,800 p/m",-,-,-,Balanced,Media-friendly,Promising winger,30/6/2026,Very Strong,Weak,-,-,1,11,2,11,11,10,11,11,3,11,10,10,11,13,11,10,11,13,1,9,8,1,7,10,7,11,11,12,10,2,10,8,7,12,12,3,2,12,11,2000188572,10,181 cm
-,Yth,Alou Nonga Ibaa,AM (RL),FRA,16,Toulouse FC,Unknown,Unknown,€140K - €425K,€300 p/m,-,-,-,Balanced,Media-friendly,Young winger,30/6/2026,Weak,Very Strong,-,-,1,13,3,8,13,6,4,8,2,4,4,9,11,13,9,7,11,13,2,6,7,2,11,12,6,11,13,12,2,2,12,3,7,7,13,3,3,6,8,2000207636,5,182 cm
-,Yth,Pierre-Wyatt Mongo,D/WB (L),FRA,16,Toulouse FC,Unknown,Unknown,€160K - €475K,€300 p/m,-,-,-,Balanced,Level-headed,Young full-back,30/6/2026,Very Strong,Weak,-,-,3,14,3,5,10,6,9,9,3,8,9,7,11,4,7,1,10,7,2,8,9,1,6,2,8,7,10,10,9,1,14,8,14,9,10,3,2,5,9,2000290391,6,175 cm
-,Yth,Seny Koumbassa,D (C),FRA,16,Toulouse FC,Unknown,Unknown,€550K - €1.6M,€300 p/m,-,-,-,Balanced,Level-headed,Promising centre-back,30/6/2026,Reasonable,Very Strong,-,-,1,13,2,11,10,7,7,9,3,9,6,1,13,14,2,2,7,7,3,13,12,2,4,2,13,5,9,7,13,1,6,6,13,6,5,1,3,4,7,2000290392,3,189 cm
-,,Logan Costa,D (C),CPV,22,Toulouse FC,Unknown,Unknown,€2.5M - €7.6M,"€34,500 p/m",-,-,-,Balanced,Level-headed,Centre-back,30/6/2026,Reasonable,Very Strong,-,-,1,12,3,13,13,13,13,13,2,13,12,10,12,14,9,6,12,6,1,14,14,2,8,8,13,10,12,12,13,1,13,14,13,13,11,3,2,11,13,49039003,7,190 cm
-,Yth,Tom Cabarrou,"DM, M (C)",FRA,16,Toulouse FC,Unknown,Unknown,€90K - €275K,€300 p/m,-,-,-,Balanced,Media-friendly,Young midfielder,30/6/2026,Reasonable,Very Strong,-,-,2,12,1,14,10,7,7,7,2,4,4,6,12,4,6,4,13,5,2,6,9,3,6,14,7,7,10,9,9,2,7,5,13,8,10,1,3,9,12,2000290404,6,176 cm
-,Yth,Darris Zema,"DM, M (C)",FRA,16,Toulouse FC,Unknown,Unknown,€350K - €1M,€300 p/m,-,-,-,Balanced,Media-friendly,Young midfielder,30/6/2026,Reasonable,Very Strong,-,-,3,13,3,14,9,9,8,8,2,7,4,7,11,12,4,6,14,5,1,5,16,4,5,8,9,7,12,9,8,1,8,6,14,8,9,3,3,12,13,2000290395,5,189 cm
-,,Warren Kamanzi,D/WB (RL),NOR,22,Toulouse FC,Unknown,Unknown,€1M - €2.9M,"€21,000 p/m",-,-,-,Balanced,Media-friendly,Attacking full back,30/6/2026,Fairly Strong,Very Strong,-,-,1,14,3,13,14,10,9,10,1,9,10,11,10,12,13,8,11,16,2,6,8,1,5,9,10,13,14,11,7,1,15,9,9,11,11,2,2,9,13,53149913,10,177 cm
-,,Gabriel Suazo,D (L),CHI,25,Toulouse FC,Unknown,Unknown,€1.6M - €4.8M,"€48,500 p/m",-,-,-,Balanced,Level-headed,Full-back,30/6/2026,Very Strong,Reasonable,-,-,3,13,2,15,13,13,13,14,2,13,11,12,12,13,10,7,13,10,2,11,11,1,14,9,12,8,13,13,13,3,15,12,12,15,12,1,2,12,13,75037990,10,178 cm
-,Yth,Mathys Niflore,GK,FRA,16,Toulouse FC,Unknown,Unknown,€325K - €950K,€300 p/m,-,-,-,Balanced,Media-friendly,Young goalkeeper,30/6/2026,Weak,Very Strong,-,-,7,12,10,13,12,8,3,11,6,10,8,2,14,4,3,1,1,2,14,1,11,7,4,3,1,3,10,10,13,14,5,7,3,8,5,8,13,7,7,2000290365,3,182 cm
-,Yth,Mathis Delebarre,GK,FRA,16,Toulouse FC,Unknown,Unknown,€110K - €325K,€300 p/m,-,-,-,Balanced,Level-headed,Young goalkeeper,30/6/2026,Reasonable,Very Strong,-,-,10,9,8,10,7,10,6,8,12,8,6,3,13,3,3,2,3,2,12,1,12,8,7,2,1,1,7,9,5,11,4,5,1,6,2,8,7,4,5,2000289625,3,193 cm
-,Yth,Tony Biakolo,D (C),CTA,16,Toulouse FC,Unknown,Unknown,€75K - €230K,€300 p/m,-,-,-,Balanced,Media-friendly,Young centre-back,30/6/2026,Weak,Very Strong,-,-,1,10,3,8,12,8,6,8,3,5,6,4,13,14,1,1,6,5,3,9,10,2,10,5,13,5,8,5,9,3,12,6,9,5,4,2,2,5,7,2000188092,5,189 cm
-,,Rasmus Nicolaisen,D (C),DEN,26,Toulouse FC,Unknown,Unknown,€2.3M - €6.8M,"€63,000 p/m",-,-,-,Fairly Loyal,Media-friendly,Centre-back,30/6/2025,Very Strong,Reasonable,-,-,4,12,3,14,12,13,13,13,2,13,12,8,12,14,9,7,11,9,1,15,15,1,11,7,13,11,12,12,13,1,14,16,14,12,11,1,3,11,12,27100972,5,191 cm
-,,Stijn Spierings,"DM, M (C)",NED,27,Toulouse FC,Unknown,Unknown,€2.4M - €7.4M,"€65,000 p/m",-,-,-,Balanced,Level-headed,Defensive midfielder,30/6/2027,Fairly Strong,Very Strong,-,-,4,11,2,13,10,13,13,11,1,13,15,9,13,13,10,12,14,14,1,12,14,1,9,13,10,12,11,13,14,3,14,14,14,12,14,2,4,14,13,37047790,12,188 cm
-,,Ibrahim Cissoko,"AM (L), ST (C)",NED,20,Toulouse FC,Unknown,Unknown,€1.2M - €3.7M,"€21,500 p/m",-,-,-,Balanced,Media-friendly,Winger,30/6/2027,Weak,Very Strong,-,-,2,15,3,13,13,10,10,12,1,6,11,10,13,10,13,10,13,14,1,13,9,3,8,10,5,11,14,8,5,3,11,11,5,11,11,1,3,8,13,37072840,11,178 cm
-,Loa,Mamady Bangré,AM (RL),BFA,22,Toulouse FC,Unknown,Unknown,€550K - €1.6M,"€13,000 p/m",-,-,-,Balanced,Level-headed,Winger,30/6/2025,Very Strong,Weak,-,-,3,13,3,8,15,11,14,7,2,7,11,10,11,14,14,11,12,14,2,7,7,3,5,9,7,13,13,12,10,2,12,7,8,13,13,3,1,11,12,49052374,12,172 cm
-,Yth,Raphaël Gaudel,D (R),FRA,17,Toulouse FC,Unknown,Unknown,€100K - €300K,€400 p/m,-,-,-,Balanced,Media-friendly,Young full-back,30/6/2025,Weak,Very Strong,-,-,1,10,3,13,14,10,9,9,3,14,7,10,10,12,8,6,5,5,3,10,8,3,1,5,7,11,14,10,13,2,6,7,10,9,9,2,2,7,10,2000187862,5,176 cm
-,Inj,Oliver Zandén,D/WB (L),SWE,21,Toulouse FC,Unknown,Unknown,€1.1M - €3.3M,"€23,500 p/m",-,-,-,Fairly Sporting,Level-headed,Full-back,30/6/2026,Very Strong,Reasonable,-,-,1,13,3,11,12,13,10,12,2,12,12,13,12,14,11,8,12,8,3,9,10,1,6,11,12,13,13,12,13,3,13,11,13,12,12,3,3,12,12,93104384,9,183 cm
-,,Frank Magri,ST (C),FRA,23,Toulouse FC,Unknown,Unknown,€1M - €3M,"€27,500 p/m",-,-,-,Balanced,Level-headed,Striker,30/6/2026,Reasonable,Very Strong,-,-,3,13,3,11,14,12,13,13,2,12,13,10,11,12,13,12,13,12,2,12,11,1,11,10,7,12,13,12,8,3,13,12,6,13,13,1,2,12,13,48043837,8,178 cm
-,Yth,Luca Mailhol,"DM, M (C)",FRA,17,Toulouse FC,Unknown,Unknown,€75K - €230K,€400 p/m,-,-,-,Balanced,Level-headed,Young midfielder,30/6/2025,Weak,Very Strong,-,-,1,13,2,11,10,9,5,7,2,8,5,6,14,13,10,6,11,13,2,6,6,1,9,9,6,10,8,10,11,1,10,6,9,7,12,2,2,10,9,2000188560,11,174 cm
-,,Zakaria Aboukhlal,"AM (RL), ST (C)",MAR,23,Toulouse FC,Unknown,Unknown,€2.5M - €7.6M,"€63,000 p/m",-,-,-,Balanced,Media-friendly,Winger,30/6/2026,Very Strong,Fairly Strong,-,-,1,15,2,12,14,14,14,12,2,11,11,8,11,14,12,13,13,14,3,8,11,2,5,11,5,13,15,11,9,3,14,13,5,9,12,1,3,11,13,37065498,7,179 cm
-,Yth,Zakariya Mohamed Isack,"AM (C), ST (C)",FRA,15,Toulouse FC,Unknown,Unknown,€250K - €800K,€300 p/m,-,-,-,Fairly Determined,Media-friendly,Promising striker,30/6/2027,Reasonable,Very Strong,-,-,2,14,2,11,14,7,7,7,3,2,7,4,14,15,8,14,10,7,2,10,10,4,1,6,4,6,14,8,6,3,9,7,5,6,8,2,4,9,8,2000290416,5,187 cm
-,Wnt,Yanis Begraoui,ST (C),MAR,21,Toulouse FC,Unknown,Unknown,€800K - €2.5M,"€11,000 p/m",-,-,-,Balanced,Media-friendly,Striker,30/6/2025,Weak,Very Strong,-,-,3,12,1,9,12,12,14,13,2,11,11,11,11,13,12,11,12,12,3,10,12,2,1,11,10,12,12,12,10,3,12,13,10,11,13,1,3,12,11,49047810,10,179 cm
-,Yth,Morvan Loup,GK,FRA,16,Toulouse FC,Unknown,Unknown,€80K - €240K,€300 p/m,-,-,-,Balanced,Media-friendly,Young goalkeeper,30/6/2026,Fairly Strong,Very Strong,-,-,10,13,10,15,14,4,3,15,5,6,6,2,13,7,2,1,1,1,13,1,7,7,1,3,3,3,12,7,6,13,2,3,1,2,1,7,11,5,5,2000290388,4,181 cm
-,Yth,Ismael Sylla,"AM (L), ST (C)",ESP,17,Toulouse FC,Unknown,Unknown,€60K - €190K,€400 p/m,-,-,-,Balanced,Level-headed,Young striker,30/6/2025,Weak,Very Strong,-,-,1,14,2,5,9,6,14,7,2,7,13,7,12,13,12,9,13,9,3,8,7,3,11,6,6,4,13,13,7,1,8,3,6,6,10,4,1,7,11,2000207641,3,176 cm
-,,Mouhamed Diop,"AM (C), ST (C)",SEN,22,Troyes,Unknown,Unknown,€180K - €550K,"€6,500 p/m",-,-,-,Balanced,Level-headed,Attacking midfielder,30/6/2028,Weak,Very Strong,-,-,2,12,1,8,12,11,11,9,2,10,11,10,11,12,11,12,11,11,1,9,8,3,5,9,7,11,12,11,7,1,12,8,7,12,11,3,3,11,12,12092871,7,182 cm
-,,Nicolas De Préville,"AM (L), ST (C)",FRA,32,Troyes,Unknown,Unknown,€1M - €3M,"€70,500 p/m",-,-,-,Balanced,Level-headed,Experienced striker,30/6/2025,Reasonable,Very Strong,-,-,3,11,3,13,12,12,10,10,1,10,12,10,11,13,14,11,13,14,3,11,10,2,12,14,4,12,13,13,4,3,11,10,5,11,15,3,1,13,10,85018475,13,182 cm
-,Yth,Jordy Mayasi Ndosimao,GK,FRA,16,Troyes,Unknown,Unknown,€50K - €140K,€250 p/m,-,-,-,Balanced,Media-friendly,Young goalkeeper,30/6/2026,Weak,Very Strong,-,-,10,11,9,12,9,6,7,8,10,5,3,1,14,10,2,3,1,1,9,1,14,9,6,2,1,3,12,9,8,8,3,4,1,7,8,9,10,6,6,2000291557,2,189 cm
-,Wnt,Derek Mazou Sacko,"DM, M (C)",FRA,18,Troyes,Unknown,Unknown,€300K - €900K,"€2,700 p/m",-,-,-,Balanced,Media-friendly,Defensive midfielder,30/6/2025,Reasonable,Very Strong,-,-,1,13,4,10,11,11,10,11,1,10,10,7,11,10,11,7,12,10,2,9,9,1,9,9,11,10,14,12,11,1,11,9,11,12,10,2,1,11,12,2000113679,7,184 cm
-,,Mathys Detourbet,"AM (RC), ST (C)",FRA,16,Troyes,Unknown,Unknown,€75K - €220K,"€2,100 p/m",-,-,-,Balanced,Media-friendly,Young striker,30/6/2025,Reasonable,Very Strong,-,-,3,11,1,8,10,9,8,8,3,9,9,10,9,10,10,9,8,9,4,7,8,2,8,8,6,9,11,9,8,1,10,8,7,9,9,3,3,9,9,2000269819,9,178 cm
-,Yth,Enisio Carneiro,D/WB (R),FRA,15,Troyes,Unknown,Unknown,€140K - €425K,€250 p/m,-,-,-,Balanced,Media-friendly,Young full-back,30/6/2027,Weak,Very Strong,-,-,3,11,3,9,10,10,9,9,2,9,9,11,9,11,10,7,8,10,3,7,8,2,8,8,9,9,11,10,9,2,9,9,9,10,8,1,2,9,10,2000269841,8,170 cm
-,Yth,Pablo Hernandez,AM (C),FRA,17,Troyes,Unknown,Unknown,€100K - €300K,€350 p/m,-,-,-,Balanced,Media-friendly,Young attacking midfielder,30/6/2025,Very Strong,Reasonable,-,-,3,11,3,7,10,9,9,9,3,10,7,8,9,10,10,9,9,9,1,6,7,2,9,8,7,8,11,9,8,3,10,8,6,9,10,1,3,9,9,2000205178,9,171 cm
-,,Sega Sanogo,D (R),FRA,17,Troyes,Unknown,Unknown,€20K - €60K,"€2,100 p/m",-,-,-,Balanced,Media-friendly,Young full-back,30/6/2024,Weak,Very Strong,-,-,2,11,3,10,11,10,10,11,3,9,10,9,8,10,8,6,10,8,1,9,8,1,8,7,10,9,10,10,10,4,11,9,10,10,8,2,3,9,9,2000290215,6,177 cm
-,,Salimou Diarra,"DM, M (C)",FRA,16,Troyes,Unknown,Unknown,€75K - €220K,"€2,100 p/m",-,-,-,Balanced,Media-friendly,Young midfielder,30/6/2025,Weak,Very Strong,-,-,2,11,2,9,10,10,9,10,1,9,9,7,9,10,9,8,10,10,3,7,8,3,8,8,9,9,10,10,10,2,9,10,9,10,9,3,2,9,10,2000269851,7,172 cm
-,,Rafiki Saïd,"AM (RL), ST (C)",COM,23,Troyes,Unknown,Unknown,€400K - €1.2M,"€11,000 p/m",-,-,-,Fairly Loyal,Media-friendly,Striker,30/6/2027,Reasonable,Very Strong,-,-,1,13,3,9,13,9,12,6,1,11,12,11,8,10,12,11,11,9,1,10,10,2,9,10,10,15,13,11,5,1,10,10,6,9,12,3,2,8,12,49040397,10,178 cm
-,Yth,Jean Raynal,GK,FRA,16,Troyes,Unknown,Unknown,€160K - €475K,€250 p/m,-,-,-,Balanced,Media-friendly,Young goalkeeper,30/6/2026,Weak,Very Strong,-,-,10,10,11,15,10,6,7,14,9,10,6,3,14,10,1,2,2,2,9,1,8,10,6,3,2,2,8,9,12,11,3,6,3,7,9,9,10,5,6,2000291570,5,185 cm
-,,Andreas Bruus,D/WB/M/AM (R),DEN,24,Troyes,Unknown,Unknown,€900K - €2.7M,"€37,000 p/m",-,-,-,Balanced,Level-headed,Attacking full back,30/6/2027,Fairly Strong,Very Strong,-,-,2,15,1,11,11,11,10,12,3,10,11,9,10,12,10,8,12,11,2,9,11,1,9,11,12,11,17,12,11,1,12,10,10,13,11,2,3,11,13,27116286,8,184 cm
-,,Tanguy Zoukrou,D (RC),FRA,20,Troyes,Unknown,Unknown,€275K - €800K,"€4,800 p/m",-,-,-,Balanced,Media-friendly,Centre-back,30/6/2026,Reasonable,Very Strong,-,-,2,11,3,12,12,12,11,12,2,10,11,7,11,11,9,6,12,10,3,12,11,1,9,5,13,8,11,11,12,2,11,11,11,11,10,1,1,9,11,2000033164,5,189 cm
-,Inj,Renaud Ripart,"M/AM (RL), ST (C)",FRA,30,Troyes,Unknown,Unknown,€1M - €3.1M,"€55,000 p/m",-,-,-,Fairly Determined,Level-headed,Striker,30/6/2025,Weak,Very Strong,-,-,2,12,1,11,12,12,15,13,1,13,13,11,12,17,11,13,13,10,2,14,12,2,13,12,7,12,12,10,8,2,16,14,5,16,12,1,2,8,15,29114948,5,181 cm
-,Yth,David Kouale Kondrou,D (C),FRA,17,Troyes,Unknown,Unknown,€45K - €140K,€350 p/m,-,-,-,Balanced,Media-friendly,Young centre-back,30/6/2025,Weak,Very Strong,-,-,3,11,3,10,9,11,11,10,3,8,10,5,9,10,7,6,10,8,3,9,7,1,9,6,11,9,11,10,10,1,9,10,9,10,9,1,2,9,10,2000238603,5,184 cm
-,Yth,Eladjy Breleur,D (C),FRA,15,Troyes,Unknown,Unknown,€120K - €350K,€250 p/m,-,-,-,Balanced,Media-friendly,Young centre-back,30/6/2027,Weak,Very Strong,-,-,1,10,2,10,8,9,11,11,3,9,10,5,9,10,7,6,10,8,1,11,9,1,8,7,11,10,9,10,10,2,10,9,10,10,9,2,2,8,9,2000291553,5,186 cm
-,Yth,Wylan Pierrilus,AM (R),FRA,17,Troyes,Unknown,Unknown,€130K - €375K,€350 p/m,-,-,-,Balanced,Media-friendly,Young winger,30/6/2025,Reasonable,Very Strong,-,-,3,12,3,8,9,10,9,9,3,8,8,10,7,11,11,9,9,9,3,7,7,4,7,7,5,7,11,9,8,1,9,9,6,9,10,3,3,10,9,2000205275,8,177 cm
-,Yth,Yves Bousquiere,"DM, M (C)",FRA,17,Troyes,Unknown,Unknown,€80K - €240K,€350 p/m,-,-,-,Balanced,Media-friendly,Young midfielder,30/6/2025,Very Strong,Weak,-,-,2,11,2,9,11,12,8,11,1,9,8,6,9,10,8,7,10,9,2,7,7,1,8,8,9,10,11,11,10,2,10,8,10,9,11,2,2,9,10,2000205091,7,173 cm
-,,Ismaël Boura,D/WB (L),FRA,22,Troyes,Unknown,Unknown,€600K - €1.8M,"€14,250 p/m",-,-,-,Fairly Determined,Media-friendly,Full-back,30/6/2025,Very Strong,Reasonable,-,-,3,13,3,10,12,11,12,10,3,11,10,11,12,17,12,7,13,9,3,9,10,4,8,6,12,12,13,10,11,3,12,12,12,13,11,3,3,11,13,49041400,9,173 cm
-,Yth,Saad Filali,D/WB (RL),MAR,15,Troyes,Unknown,Unknown,€350K - €1.1M,€250 p/m,-,-,-,Balanced,Media-friendly,Attacking full back,30/6/2027,Very Strong,Strong,-,-,2,10,1,7,9,8,8,7,3,9,8,11,9,12,10,7,8,7,2,6,9,1,9,9,10,7,9,8,8,2,10,8,8,9,8,1,3,9,9,2000269780,10,176 cm
-,,Ante Palaversa,"DM, M (C)",CRO,23,Troyes,Unknown,Unknown,€650K - €2M,"€65,000 p/m",-,-,-,Balanced,Media-friendly,Midfielder,30/6/2025,Reasonable,Very Strong,-,-,1,12,2,11,11,12,10,13,2,12,11,8,13,11,12,9,11,11,1,10,11,2,9,10,10,12,12,13,12,3,13,10,12,14,11,1,3,14,14,24055163,7,187 cm
-,,Doğan Alemdar,GK,TUR,20,Troyes,Unknown,Unknown,€2.8M - €8.4M,"€10,500 p/m",-,-,-,Balanced,Media-friendly,Goalkeeper,30/6/2027,Weak,Very Strong,-,-,13,10,13,8,11,9,13,13,12,13,12,1,9,5,3,3,8,7,12,2,12,12,8,3,1,8,11,9,10,13,14,14,2,14,9,12,11,6,15,70117167,3,192 cm
-,Yth,Sankhoum Bocum,D (C),FRA,17,Troyes,Unknown,Unknown,€60K - €190K,€350 p/m,-,-,-,Balanced,Media-friendly,Young centre-back,30/6/2025,Very Strong,Weak,-,-,3,11,1,11,10,10,9,10,3,9,10,5,9,10,8,6,9,8,1,9,8,2,9,6,10,9,10,9,10,2,9,10,11,10,8,2,1,8,9,2000237610,5,187 cm
